#      date    value 
 2019-01-01   1.3125 
 2019-01-02        0 
 2019-01-03    1.375 
 2019-01-04        0 
 2019-01-05    0.125 
 2019-01-06     1.25 
 2019-01-07        0 
 2019-01-08     1.25 
 2019-01-09    0.125 
 2019-01-10   2.1875 
 2019-01-11        4 
 2019-01-12   1.5625 
 2019-01-13   0.3125 
 2019-01-14        0 
 2019-01-15        0 
 2019-01-16   1.8125 
 2019-01-17   2.4375 
 2019-01-18        0 
 2019-01-19   0.4375 
 2019-01-20        0 
 2019-01-21    0.625 
 2019-01-22    0.625 
 2019-01-23        0 
 2019-01-24   0.3125 
 2019-01-25    0.125 
 2019-01-26   0.1875 
 2019-01-27        0 
 2019-01-28        0 
 2019-01-29   2.6875 
 2019-01-30        3 
 2019-01-31    0.125 
 2019-02-01        0 
 2019-02-02        0 
 2019-02-03        0 
 2019-02-04   0.0625 
 2019-02-05   0.3125 
 2019-02-06    0.375 
 2019-02-07        0 
 2019-02-08        0 
 2019-02-09    0.125 
 2019-02-10    2.625 
 2019-02-11   0.6875 
 2019-02-12    0.875 
 2019-02-13        0 
 2019-02-14      5.5 
 2019-02-15    1.375 
 2019-02-16   7.6875 
 2019-02-17   0.1875 
 2019-02-18    3.625 
 2019-02-19   5.0625 
 2019-02-20   1.1875 
 2019-02-21        0 
 2019-02-22      1.5 
 2019-02-23   0.1875 
 2019-02-24   4.5625 
 2019-02-25    0.875 
 2019-02-26   1.3125 
 2019-02-27   4.4375 
 2019-02-28   0.0625 
 2019-03-01   1.6875 
 2019-03-02        0 
 2019-03-03        0 
 2019-03-04      0.5 
 2019-03-05        0 
 2019-03-06    0.125 
 2019-03-07   0.0625 
 2019-03-08    1.375 
 2019-03-09   4.0625 
 2019-03-10        0 
 2019-03-11        0 
 2019-03-12        0 
 2019-03-13        0 
 2019-03-14   0.0625 
 2019-03-15    2.625 
 2019-03-16   0.0625 
 2019-03-17        0 
 2019-03-18     6.25 
 2019-03-19     0.25 
 2019-03-20     1.25 
 2019-03-21        0 
 2019-03-22   0.0625 
 2019-03-23   0.6875 
 2019-03-24     0.25 
 2019-03-25        0 
 2019-03-26        0 
 2019-03-27   0.0625 
 2019-03-28      1.5 
 2019-03-29     0.25 
 2019-03-30        0 
 2019-03-31   0.0625 
 2019-04-01        0 
 2019-04-02   0.0625 
 2019-04-03   0.1875 
 2019-04-04   1.4375 
 2019-04-05        0 
 2019-04-06        0 
 2019-04-07        0 
 2019-04-08        0 
 2019-04-09        0 
 2019-04-10   0.0625 
 2019-04-11        0 
 2019-04-12   0.0625 
 2019-04-13        0 
 2019-04-14        0 
 2019-04-15        0 
 2019-04-16        0 
 2019-04-17        0 
 2019-04-18        0 
 2019-04-19        0 
 2019-04-20        0 
 2019-04-21        0 
 2019-04-22   0.1875 
 2019-04-23   0.0625 
 2019-04-24        0 
 2019-04-25        0 
 2019-04-26        0 
 2019-04-27        0 
 2019-04-28        0 
 2019-04-29        0 
 2019-04-30   0.6875 
 2019-05-01   0.3125 
 2019-05-02   0.5625 
 2019-05-03        0 
 2019-05-04   2.1875 
 2019-05-05        0 
 2019-05-06      1.5 
 2019-05-07        0 
 2019-05-08   6.5625 
 2019-05-09        0 
 2019-05-10   2.3125 
 2019-05-11   3.6875 
 2019-05-12   9.8125 
 2019-05-13      5.5 
 2019-05-14   0.0625 
 2019-05-15        0 
 2019-05-16        0 
 2019-05-17        0 
 2019-05-18        0 
 2019-05-19        0 
 2019-05-20   0.1875 
 2019-05-21        0 
 2019-05-22        0 
 2019-05-23        0 
 2019-05-24        0 
 2019-05-25        0 
 2019-05-26    3.125 
 2019-05-27   9.4375 
 2019-05-28   2.3125 
 2019-05-29   8.6875 
 2019-05-30   9.0625 
 2019-05-31    7.125 
 2019-06-01    2.375 
 2019-06-02    0.375 
 2019-06-03        0 
 2019-06-04    1.125 
 2019-06-05   0.0625 
 2019-06-06        0 
 2019-06-07   15.875 
 2019-06-08   7.6875 
 2019-06-09   8.3125 
 2019-06-10   24.875 
 2019-06-11    0.875 
 2019-06-12        0 
 2019-06-13        0 
 2019-06-14        0 
 2019-06-15        0 
 2019-06-16        0 
 2019-06-17        0 
 2019-06-18   2.4375 
 2019-06-19   4.6875 
 2019-06-20        0 
 2019-06-21     1.75 
 2019-06-22  13.0625 
 2019-06-23   6.3125 
 2019-06-24   7.0625 
 2019-06-25   3.4375 
 2019-06-26   0.3125 
 2019-06-27   0.1875 
 2019-06-28    0.125 
 2019-06-29   5.6875 
 2019-06-30        0 
 2019-07-01   2.9375 
 2019-07-02   7.3125 
 2019-07-03   6.5625 
 2019-07-04    3.125 
 2019-07-05   2.0625 
 2019-07-06     9.25 
 2019-07-07     0.75 
 2019-07-08        0 
 2019-07-09        0 
 2019-07-10        0 
 2019-07-11        0 
 2019-07-12        0 
 2019-07-13        0 
 2019-07-14   0.1875 
 2019-07-15    0.375 
 2019-07-16     0.25 
 2019-07-17   1.8125 
 2019-07-18    1.125 
 2019-07-19        1 
 2019-07-20        0 
 2019-07-21    0.125 
 2019-07-22        0 
 2019-07-23        0 
 2019-07-24        0 
 2019-07-25        0 
 2019-07-26   0.1875 
 2019-07-27        0 
 2019-07-28   0.0625 
 2019-07-29      0.5 
 2019-07-30        0 
 2019-07-31        0 
 2019-08-01        5 
 2019-08-02      0.5 
 2019-08-03    0.125 
 2019-08-04        0 
 2019-08-05        0 
 2019-08-06    1.625 
 2019-08-07   1.3125 
 2019-08-08    0.375 
 2019-08-09   0.0625 
 2019-08-10    0.875 
 2019-08-11      3.5 
 2019-08-12      1.5 
 2019-08-13   7.3125 
 2019-08-14   1.6875 
 2019-08-15        2 
 2019-08-16     0.25 
 2019-08-17   0.3125 
 2019-08-18     0.25 
 2019-08-19    2.875 
 2019-08-20    3.125 
 2019-08-21     0.75 
 2019-08-22   1.1875 
 2019-08-23        0 
 2019-08-24   0.8125 
 2019-08-25    11.75 
