#      date    value 
 1979-01-02        0 
 1979-01-03        0 
 1979-01-04        0 
 1979-01-05        0 
 1979-01-06        0 
 1979-01-07     0.75 
 1979-01-08   0.0625 
 1979-01-09        0 
 1979-01-10        0 
 1979-01-11        0 
 1979-01-12   0.8125 
 1979-01-13        0 
 1979-01-14        0 
 1979-01-15    1.125 
 1979-01-16   0.0625 
 1979-01-17   1.0625 
 1979-01-18        0 
 1979-01-19   8.0625 
 1979-01-20   0.8125 
 1979-01-21   2.0625 
 1979-01-22     1.25 
 1979-01-23   8.5625 
 1979-01-24    0.125 
 1979-01-25        0 
 1979-01-26        0 
 1979-01-27   3.0625 
 1979-01-28    0.125 
 1979-01-29     0.25 
 1979-01-30   0.1875 
 1979-01-31        0 
 1979-02-01   0.0625 
 1979-02-02   2.5625 
 1979-02-03   0.1875 
 1979-02-04    0.375 
 1979-02-05    0.625 
 1979-02-06     2.25 
 1979-02-07        0 
 1979-02-08        0 
 1979-02-09        0 
 1979-02-10        0 
 1979-02-11        1 
 1979-02-12   0.5625 
 1979-02-13     1.75 
 1979-02-14    4.125 
 1979-02-15   5.3125 
 1979-02-16        0 
 1979-02-17        0 
 1979-02-18        0 
 1979-02-19        0 
 1979-02-20        0 
 1979-02-21    8.125 
 1979-02-22     0.75 
 1979-02-23        3 
 1979-02-24        0 
 1979-02-25        0 
 1979-02-26        0 
 1979-02-27        0 
 1979-02-28        0 
 1979-03-01     3.25 
 1979-03-02   9.1875 
 1979-03-03  12.1875 
 1979-03-04     9.75 
 1979-03-05      0.5 
 1979-03-06        0 
 1979-03-07   0.5625 
 1979-03-08    0.625 
 1979-03-09   1.5625 
 1979-03-10   0.0625 
 1979-03-11   1.3125 
 1979-03-12        0 
 1979-03-13   0.0625 
 1979-03-14   0.0625 
 1979-03-15        0 
 1979-03-16   0.4375 
 1979-03-17   0.8125 
 1979-03-18     3.25 
 1979-03-19    6.375 
 1979-03-20    0.125 
 1979-03-21   0.5625 
 1979-03-22    0.125 
 1979-03-23   21.875 
 1979-03-24     5.75 
 1979-03-25        0 
 1979-03-26        0 
 1979-03-27        0 
 1979-03-28    3.375 
 1979-03-29    0.625 
 1979-03-30  13.4375 
 1979-03-31        0 
 1979-04-01        0 
 1979-04-02        0 
 1979-04-03        0 
 1979-04-04        0 
 1979-04-05   4.9375 
 1979-04-06   0.0625 
 1979-04-07        0 
 1979-04-08      2.5 
 1979-04-09        0 
 1979-04-10        0 
 1979-04-11        0 
 1979-04-12   5.0625 
 1979-04-13    1.125 
 1979-04-14        0 
 1979-04-15        0 
 1979-04-16        0 
 1979-04-17        0 
 1979-04-18        0 
 1979-04-19        0 
 1979-04-20   4.0625 
 1979-04-21   0.9375 
 1979-04-22     0.25 
 1979-04-23        0 
 1979-04-24    1.875 
 1979-04-25   3.9375 
 1979-04-26   2.9375 
 1979-04-27   0.1875 
 1979-04-28   2.1875 
 1979-04-29   0.9375 
 1979-04-30     0.75 
 1979-05-01   0.0625 
 1979-05-02   1.6875 
 1979-05-03        0 
 1979-05-04        0 
 1979-05-05    12.75 
 1979-05-06    2.875 
 1979-05-07   1.3125 
 1979-05-08   14.375 
 1979-05-09    3.125 
 1979-05-10   1.5625 
 1979-05-11     0.75 
 1979-05-12        0 
 1979-05-13   4.5625 
 1979-05-14   3.3125 
 1979-05-15      0.5 
 1979-05-16        0 
 1979-05-17   0.0625 
 1979-05-18   8.0625 
 1979-05-19   0.1875 
 1979-05-20   1.8125 
 1979-05-21        0 
 1979-05-22    8.875 
 1979-05-23   4.5625 
 1979-05-24        0 
 1979-05-25        0 
 1979-05-26        0 
 1979-05-27     0.25 
 1979-05-28        0 
 1979-05-29        0 
 1979-05-30  14.5625 
 1979-05-31    8.875 
 1979-06-01    1.375 
 1979-06-02      0.5 
 1979-06-03   0.3125 
 1979-06-04    1.125 
 1979-06-05        0 
 1979-06-06      2.5 
 1979-06-07  27.9375 
 1979-06-08    1.125 
 1979-06-09   0.9375 
 1979-06-10     13.5 
 1979-06-11   0.0625 
 1979-06-12        0 
 1979-06-13        0 
 1979-06-14        0 
 1979-06-15     3.25 
 1979-06-16  29.5625 
 1979-06-17    19.75 
 1979-06-18        0 
 1979-06-19        0 
 1979-06-20   0.6875 
 1979-06-21    2.375 
 1979-06-22        0 
 1979-06-23        0 
 1979-06-24        0 
 1979-06-25        0 
 1979-06-26  11.1875 
 1979-06-27    0.125 
 1979-06-28        0 
 1979-06-29   0.3125 
 1979-06-30    0.125 
 1979-07-01        0 
 1979-07-02    0.625 
 1979-07-03   7.3125 
 1979-07-04   4.0625 
 1979-07-05        0 
 1979-07-06        0 
 1979-07-07        0 
 1979-07-08        0 
 1979-07-09      0.5 
 1979-07-10   0.3125 
 1979-07-11        0 
 1979-07-12    0.375 
 1979-07-13   13.125 
 1979-07-14   0.5625 
 1979-07-15   0.0625 
 1979-07-16   0.3125 
 1979-07-17        0 
 1979-07-18        0 
 1979-07-19        3 
 1979-07-20        1 
 1979-07-21   1.1875 
 1979-07-22    0.625 
 1979-07-23     0.75 
 1979-07-24    2.375 
 1979-07-25   2.0625 
 1979-07-26   1.5625 
 1979-07-27   7.3125 
 1979-07-28        0 
 1979-07-29        0 
 1979-07-30    14.25 
 1979-07-31   1.3125 
 1979-08-01        0 
 1979-08-02        0 
 1979-08-03   4.3125 
 1979-08-04   0.0625 
 1979-08-05        0 
 1979-08-06   0.0625 
 1979-08-07        0 
 1979-08-08    6.625 
 1979-08-09   1.5625 
 1979-08-10   2.1875 
 1979-08-11   3.3125 
 1979-08-12    0.125 
 1979-08-13     0.25 
 1979-08-14        0 
 1979-08-15        0 
 1979-08-16    0.125 
 1979-08-17    3.875 
 1979-08-18        0 
 1979-08-19   0.0625 
 1979-08-20   0.0625 
 1979-08-21        0 
 1979-08-22       11 
 1979-08-23   6.8125 
 1979-08-24        0 
 1979-08-25      4.5 
 1979-08-26      0.5 
 1979-08-27    5.375 
 1979-08-28        1 
 1979-08-29    1.875 
 1979-08-30        0 
 1979-08-31    3.875 
 1979-09-01   1.8125 
 1979-09-02        1 
 1979-09-03        0 
 1979-09-04        0 
 1979-09-05   0.3125 
 1979-09-06    0.125 
 1979-09-07   0.3125 
 1979-09-08        0 
 1979-09-09        0 
 1979-09-10     3.75 
 1979-09-11  16.8125 
 1979-09-12     1.25 
 1979-09-13        0 
 1979-09-14    0.125 
 1979-09-15        0 
 1979-09-16        0 
 1979-09-17        0 
 1979-09-18        0 
 1979-09-19        0 
 1979-09-20     0.25 
 1979-09-21        0 
 1979-09-22        0 
 1979-09-23    0.125 
 1979-09-24        0 
 1979-09-25        0 
 1979-09-26        0 
 1979-09-27        0 
 1979-09-28    0.125 
 1979-09-29        0 
 1979-09-30        0 
 1979-10-01   13.875 
 1979-10-02   1.6875 
 1979-10-03   2.3125 
 1979-10-04   0.3125 
 1979-10-05        0 
 1979-10-06    1.125 
 1979-10-07   0.0625 
 1979-10-08   0.3125 
 1979-10-09   3.3125 
 1979-10-10   0.5625 
 1979-10-11       15 
 1979-10-12   2.4375 
 1979-10-13        0 
 1979-10-14        0 
 1979-10-15        0 
 1979-10-16        0 
 1979-10-17    0.125 
 1979-10-18    5.125 
 1979-10-19  11.5625 
 1979-10-20        3 
 1979-10-21    8.125 
 1979-10-22  36.0625 
