#      date    value 
 1985-01-01        0 
 1985-01-02        0 
 1985-01-03        0 
 1985-01-04        0 
 1985-01-05        0 
 1985-01-06    0.125 
 1985-01-07   0.3125 
 1985-01-08        0 
 1985-01-09        0 
 1985-01-10        0 
 1985-01-11        0 
 1985-01-12        0 
 1985-01-13        0 
 1985-01-14   0.8125 
 1985-01-15    1.125 
 1985-01-16        0 
 1985-01-17        0 
 1985-01-18        0 
 1985-01-19        0 
 1985-01-20   0.6875 
 1985-01-21        0 
 1985-01-22        0 
 1985-01-23        0 
 1985-01-24        0 
 1985-01-25        0 
 1985-01-26        0 
 1985-01-27     0.25 
 1985-01-28   4.4375 
 1985-01-29     1.25 
 1985-01-30        0 
 1985-01-31   3.5625 
 1985-02-01   6.0625 
 1985-02-02    4.125 
 1985-02-03        2 
 1985-02-04        0 
 1985-02-05    1.625 
 1985-02-06   1.1875 
 1985-02-07       25 
 1985-02-08  11.1875 
 1985-02-09        5 
 1985-02-10     3.75 
 1985-02-11  11.0625 
 1985-02-12   8.1875 
 1985-02-13        0 
 1985-02-14        0 
 1985-02-15   2.5625 
 1985-02-16        0 
 1985-02-17        0 
 1985-02-18        0 
 1985-02-19   3.6875 
 1985-02-20    4.125 
 1985-02-21     0.25 
 1985-02-22   1.3125 
 1985-02-23        0 
 1985-02-24   1.9375 
 1985-02-25   0.3125 
 1985-02-26        0 
 1985-02-27        0 
 1985-02-28        0 
 1985-03-01      0.5 
 1985-03-02   1.1875 
 1985-03-03   0.1875 
 1985-03-04   4.6875 
 1985-03-05   1.6875 
 1985-03-06    2.375 
 1985-03-07      0.5 
 1985-03-08   0.0625 
 1985-03-09        0 
 1985-03-10        0 
 1985-03-11        0 
 1985-03-12        0 
 1985-03-13        0 
 1985-03-14        0 
 1985-03-15        0 
 1985-03-16        0 
 1985-03-17        0 
 1985-03-18   0.0625 
 1985-03-19        0 
 1985-03-20   1.3125 
 1985-03-21   9.8125 
 1985-03-22   4.3125 
 1985-03-23   13.625 
 1985-03-24  11.6875 
 1985-03-25     1.25 
 1985-03-26     7.75 
 1985-03-27   6.0625 
 1985-03-28   2.4375 
 1985-03-29   1.1875 
 1985-03-30      6.5 
 1985-03-31    2.875 
 1985-04-01        0 
 1985-04-02        0 
 1985-04-03    0.375 
 1985-04-04    0.125 
 1985-04-05        0 
 1985-04-06        0 
 1985-04-07   0.4375 
 1985-04-08        0 
 1985-04-09        0 
 1985-04-10   0.0625 
 1985-04-11    1.375 
 1985-04-12    0.125 
 1985-04-13        0 
 1985-04-14        0 
 1985-04-15   1.3125 
 1985-04-16   0.0625 
 1985-04-17   0.1875 
 1985-04-18     1.75 
 1985-04-19   3.9375 
 1985-04-20   0.8125 
 1985-04-21   2.1875 
 1985-04-22    4.625 
 1985-04-23   6.3125 
 1985-04-24   2.4375 
 1985-04-25   1.6875 
 1985-04-26        0 
 1985-04-27        0 
 1985-04-28   0.3125 
 1985-04-29     0.25 
 1985-04-30        0 
 1985-05-01        0 
 1985-05-02    0.125 
 1985-05-03    3.625 
 1985-05-04     0.75 
 1985-05-05        0 
 1985-05-06   0.0625 
 1985-05-07   5.9375 
 1985-05-08   0.9375 
 1985-05-09   0.5625 
 1985-05-10     2.25 
 1985-05-11      1.5 
 1985-05-12        0 
 1985-05-13        0 
 1985-05-14    2.125 
 1985-05-15        0 
 1985-05-16     2.25 
