#      date    value 
 2007-05-27    14.25 
 2007-05-28   1.0625 
 2007-05-29        0 
 2007-05-30        0 
 2007-05-31        0 
 2007-06-01   0.0625 
 2007-06-02    0.125 
 2007-06-03   1.4375 
 2007-06-04   0.1875 
 2007-06-05   36.125 
 2007-06-06   27.625 
 2007-06-07    0.375 
 2007-06-08        0 
 2007-06-09        0 
 2007-06-10        0 
 2007-06-11        0 
 2007-06-12        0 
 2007-06-13        0 
 2007-06-14    0.375 
 2007-06-15        0 
 2007-06-16        0 
 2007-06-17        0 
 2007-06-18   0.1875 
 2007-06-19        0 
 2007-06-20    0.125 
 2007-06-21        0 
 2007-06-22    0.625 
 2007-06-23   10.875 
 2007-06-24    1.625 
 2007-06-25  22.5625 
 2007-06-26  19.1875 
 2007-06-27        0 
 2007-06-28        0 
 2007-06-29        0 
 2007-06-30        0 
 2007-07-01        0 
 2007-07-02        0 
 2007-07-03        0 
 2007-07-04        0 
 2007-07-05        0 
 2007-07-06        0 
 2007-07-07        0 
 2007-07-08   0.3125 
 2007-07-09        0 
 2007-07-10        0 
 2007-07-11        0 
 2007-07-12        0 
 2007-07-13        0 
 2007-07-14        0 
 2007-07-15        0 
 2007-07-16        0 
 2007-07-17        0 
 2007-07-18        0 
 2007-07-19        0 
 2007-07-20        0 
 2007-07-21        0 
 2007-07-22        0 
 2007-07-23    0.625 
 2007-07-24   0.9375 
 2007-07-25        0 
 2007-07-26        0 
 2007-07-27        0 
 2007-07-28        0 
 2007-07-29        0 
 2007-07-30        0 
 2007-07-31        0 
 2007-08-01        0 
 2007-08-02        0 
 2007-08-03        0 
 2007-08-04        0 
 2007-08-05        0 
 2007-08-06        0 
 2007-08-07        0 
 2007-08-08        0 
 2007-08-09        0 
 2007-08-10        0 
 2007-08-11        0 
 2007-08-12        0 
 2007-08-13        0 
 2007-08-14        0 
 2007-08-15   0.0625 
 2007-08-16        0 
 2007-08-17        0 
 2007-08-18      0.5 
 2007-08-19  52.1875 
 2007-08-20    9.875 
 2007-08-21     26.5 
 2007-08-22   8.1875 
 2007-08-23    48.25 
 2007-08-24     4.75 
 2007-08-25    3.875 
 2007-08-26    0.125 
 2007-08-27        0 
 2007-08-28        0 
 2007-08-29        0 
 2007-08-30        0 
 2007-08-31        0 
 2007-09-01        0 
 2007-09-02        0 
 2007-09-03   0.0625 
 2007-09-04    19.75 
 2007-09-05  10.8125 
 2007-09-06   5.8125 
 2007-09-07      0.5 
 2007-09-08    2.375 
 2007-09-09    2.125 
 2007-09-10   0.0625 
 2007-09-11        0 
 2007-09-12        0 
 2007-09-13        0 
 2007-09-14        0 
 2007-09-15    0.125 
 2007-09-16        0 
 2007-09-17        0 
 2007-09-18        0 
 2007-09-19        0 
 2007-09-20        0 
 2007-09-21        0 
 2007-09-22    4.625 
 2007-09-23     0.25 
 2007-09-24        0 
 2007-09-25        0 
 2007-09-26   2.9375 
 2007-09-27    0.375 
 2007-09-28        0 
 2007-09-29        0 
 2007-09-30        0 
 2007-10-01        0 
 2007-10-02    0.125 
 2007-10-03        0 
 2007-10-04        0 
 2007-10-05        0 
 2007-10-06        0 
 2007-10-07    1.875 
 2007-10-08  12.6875 
 2007-10-09  25.4375 
 2007-10-10  23.4375 
 2007-10-11   0.3125 
 2007-10-12   0.1875 
 2007-10-13        0 
 2007-10-14        0 
 2007-10-15        0 
 2007-10-16        0 
 2007-10-17        0 
 2007-10-18        0 
 2007-10-19        0 
 2007-10-20     0.25 
 2007-10-21   0.1875 
 2007-10-22        0 
 2007-10-23        0 
 2007-10-24        0 
 2007-10-25   6.5625 
 2007-10-26   13.125 
 2007-10-27        0 
 2007-10-28  11.9375 
 2007-10-29    3.125 
 2007-10-30        0 
 2007-10-31   0.6875 
 2007-11-01        0 
 2007-11-02   0.0625 
 2007-11-03        0 
 2007-11-04   0.0625 
 2007-11-05   10.875 
 2007-11-06   8.3125 
 2007-11-07    22.25 
 2007-11-08   0.9375 
 2007-11-09   0.3125 
 2007-11-10   0.0625 
 2007-11-11   8.8125 
 2007-11-12    1.375 
 2007-11-13        0 
 2007-11-14        0 
 2007-11-15   2.8125 
 2007-11-16      1.5 
 2007-11-17        2 
 2007-11-18   0.0625 
 2007-11-19        0 
 2007-11-20        0 
 2007-11-21        0 
 2007-11-22        1 
 2007-11-23  66.0625 
 2007-11-24   3.8125 
 2007-11-25   0.0625 
 2007-11-26   0.8125 
 2007-11-27    2.875 
 2007-11-28    0.625 
 2007-11-29   2.3125 
 2007-11-30   0.0625 
 2007-12-01   2.4375 
 2007-12-02   0.3125 
 2007-12-03    0.125 
 2007-12-04   0.5625 
 2007-12-05    38.75 
 2007-12-06   0.1875 
 2007-12-07  20.9375 
 2007-12-08    0.625 
 2007-12-09    0.375 
 2007-12-10   2.4375 
 2007-12-11     1.75 
 2007-12-12   4.3125 
 2007-12-13    0.125 
 2007-12-14   0.4375 
 2007-12-15        0 
 2007-12-16    0.625 
 2007-12-17  15.6875 
 2007-12-18   0.0625 
 2007-12-19    0.125 
 2007-12-20   0.0625 
 2007-12-21        0 
 2007-12-22   2.3125 
 2007-12-23   3.4375 
 2007-12-24   0.5625 
 2007-12-25    0.375 
 2007-12-26      4.5 
 2007-12-27    5.875 
 2007-12-28   8.3125 
 2007-12-29   0.0625 
 2007-12-30   7.9375 
 2007-12-31   27.875 
