#      date    value 
 2006-06-08        0 
 2006-06-09        0 
 2006-06-10        0 
 2006-06-11        0 
 2006-06-12        0 
 2006-06-13        0 
 2006-06-14        0 
 2006-06-15        0 
 2006-06-16      0.5 
 2006-06-17   0.6875 
 2006-06-18      0.5 
 2006-06-19    1.125 
 2006-06-20   1.3125 
 2006-06-21    19.25 
 2006-06-22   0.1875 
 2006-06-23        0 
 2006-06-24        0 
 2006-06-25        0 
 2006-06-26        0 
 2006-06-27        2 
 2006-06-28   1.6875 
 2006-06-29        0 
 2006-06-30        0 
 2006-07-01        0 
 2006-07-02        0 
 2006-07-03        0 
 2006-07-04        0 
 2006-07-05        0 
 2006-07-06        0 
 2006-07-07        0 
 2006-07-08    0.125 
 2006-07-09        0 
 2006-07-10        0 
 2006-07-11        0 
 2006-07-12      1.5 
 2006-07-13      1.5 
 2006-07-14    6.125 
 2006-07-15   4.5625 
 2006-07-16        0 
 2006-07-17        0 
 2006-07-18        0 
 2006-07-19        0 
 2006-07-20        0 
 2006-07-21        0 
 2006-07-22        0 
 2006-07-23        0 
 2006-07-24   0.0625 
 2006-07-25        0 
 2006-07-26        0 
 2006-07-27        0 
 2006-07-28        0 
 2006-07-29        2 
 2006-07-30        0 
 2006-07-31   0.0625 
 2006-08-01    0.125 
 2006-08-02     2.75 
 2006-08-03   0.9375 
 2006-08-04   8.5625 
 2006-08-05  18.3125 
 2006-08-06  13.9375 
 2006-08-07   17.125 
 2006-08-08   8.5625 
 2006-08-09     4.75 
 2006-08-10   0.3125 
 2006-08-11   1.3125 
 2006-08-12     0.25 
 2006-08-13   10.125 
 2006-08-14   0.3125 
 2006-08-15   1.8125 
 2006-08-16   0.0625 
 2006-08-17        0 
 2006-08-18   1.9375 
 2006-08-19        0 
 2006-08-20   0.4375 
 2006-08-21   1.4375 
 2006-08-22     0.75 
 2006-08-23    3.625 
 2006-08-24   0.5625 
 2006-08-25   0.3125 
 2006-08-26   0.8125 
 2006-08-27    1.125 
 2006-08-28    0.625 
 2006-08-29   6.9375 
 2006-08-30      6.5 
 2006-08-31   3.0625 
 2006-09-01      1.5 
 2006-09-02    0.875 
 2006-09-03   6.6875 
 2006-09-04   1.3125 
 2006-09-05        0 
 2006-09-06        0 
 2006-09-07   8.5625 
 2006-09-08    0.625 
 2006-09-09   0.1875 
 2006-09-10        0 
 2006-09-11        0 
 2006-09-12        0 
 2006-09-13        0 
 2006-09-14        0 
 2006-09-15        0 
 2006-09-16        0 
 2006-09-17        0 
 2006-09-18        0 
 2006-09-19   0.0625 
 2006-09-20        0 
 2006-09-21        0 
 2006-09-22        0 
 2006-09-23        0 
 2006-09-24        0 
 2006-09-25        0 
 2006-09-26        0 
 2006-09-27   0.9375 
 2006-09-28    2.625 
 2006-09-29        0 
 2006-09-30   0.0625 
 2006-10-01     2.75 
 2006-10-02     0.25 
 2006-10-03   5.9375 
 2006-10-04   1.6875 
 2006-10-05   1.0625 
 2006-10-06     0.25 
 2006-10-07      2.5 
 2006-10-08   0.0625 
 2006-10-09        0 
 2006-10-10        0 
 2006-10-11   0.0625 
 2006-10-12        0 
 2006-10-13        0 
 2006-10-14        0 
 2006-10-15        0 
 2006-10-16        0 
 2006-10-17        0 
 2006-10-18        0 
 2006-10-19        0 
 2006-10-20   0.0625 
 2006-10-21        0 
 2006-10-22        0 
 2006-10-23   0.0625 
 2006-10-24    0.625 
 2006-10-25    0.875 
 2006-10-26    0.125 
 2006-10-27   0.0625 
 2006-10-28     0.25 
 2006-10-29   7.3125 
 2006-10-30    0.125 
 2006-10-31     1.75 
 2006-11-01     7.25 
 2006-11-02    1.375 
 2006-11-03        0 
 2006-11-04   5.0625 
 2006-11-05      8.5 
 2006-11-06        3 
 2006-11-07        0 
 2006-11-08        0 
 2006-11-09   3.4375 
 2006-11-10   0.0625 
 2006-11-11   1.3125 
 2006-11-12   3.5625 
 2006-11-13     4.25 
 2006-11-14    0.125 
 2006-11-15     0.25 
 2006-11-16        0 
 2006-11-17        0 
 2006-11-18        0 
 2006-11-19     0.25 
 2006-11-20    0.125 
 2006-11-21        0 
 2006-11-22   0.6875 
 2006-11-23   0.0625 
 2006-11-24   0.6875 
 2006-11-25        0 
 2006-11-26        0 
 2006-11-27        0 
 2006-11-28        0 
 2006-11-29        0 
 2006-11-30        0 
 2006-12-01        0 
 2006-12-02        0 
 2006-12-03        0 
 2006-12-04   1.8125 
 2006-12-05   0.4375 
 2006-12-06    0.375 
 2006-12-07        0 
 2006-12-08        0 
 2006-12-09   7.4375 
 2006-12-10    3.125 
 2006-12-11   1.1875 
 2006-12-12    4.625 
 2006-12-13    6.625 
 2006-12-14    0.125 
 2006-12-15        0 
 2006-12-16   1.1875 
 2006-12-17     0.75 
 2006-12-18     0.75 
 2006-12-19    0.125 
 2006-12-20    0.375 
 2006-12-21   0.0625 
 2006-12-22        0 
 2006-12-23        0 
 2006-12-24        0 
 2006-12-25        0 
 2006-12-26        0 
 2006-12-27        0 
 2006-12-28      0.5 
 2006-12-29        0 
 2006-12-30   1.1875 
 2006-12-31   2.0625 
