#      date    value 
 1981-01-01        0 
 1981-01-02        0 
 1981-01-03        0 
 1981-01-04    1.375 
 1981-01-05   2.5625 
 1981-01-06    0.125 
 1981-01-07     0.25 
 1981-01-08   0.8125 
 1981-01-09        0 
 1981-01-10        0 
 1981-01-11        0 
 1981-01-12        0 
 1981-01-13        0 
 1981-01-14        0 
 1981-01-15   0.0625 
 1981-01-16        0 
 1981-01-17        0 
 1981-01-18        0 
 1981-01-19   0.1875 
 1981-01-20        0 
 1981-01-21        0 
 1981-01-22        0 
 1981-01-23        0 
 1981-01-24        0 
 1981-01-25     0.25 
 1981-01-26        0 
 1981-01-27    0.125 
 1981-01-28        0 
 1981-01-29        0 
 1981-01-30        0 
 1981-01-31        0 
 1981-02-01        0 
 1981-02-02        0 
 1981-02-03        0 
 1981-02-04        0 
 1981-02-05        0 
 1981-02-06    0.375 
 1981-02-07   1.0625 
 1981-02-08   0.4375 
 1981-02-09   0.0625 
 1981-02-10        0 
 1981-02-11        0 
 1981-02-12        0 
 1981-02-13        0 
 1981-02-14   2.5625 
 1981-02-15        0 
 1981-02-16        0 
 1981-02-17    0.125 
 1981-02-18        0 
 1981-02-19        0 
 1981-02-20   5.0625 
 1981-02-21        8 
 1981-02-22    0.125 
 1981-02-23        1 
 1981-02-24        1 
 1981-02-25        0 
 1981-02-26   3.8125 
 1981-02-27   0.3125 
 1981-02-28     0.75 
 1981-03-01   0.4375 
 1981-03-02        0 
 1981-03-03    0.125 
 1981-03-04        0 
 1981-03-05        0 
 1981-03-06        0 
 1981-03-07        0 
 1981-03-08   0.9375 
 1981-03-09   0.0625 
 1981-03-10        0 
 1981-03-11        0 
 1981-03-12        0 
 1981-03-13        0 
 1981-03-14        0 
 1981-03-15        0 
 1981-03-16        0 
 1981-03-17        0 
 1981-03-18        0 
 1981-03-19   0.1875 
 1981-03-20        0 
 1981-03-21   1.1875 
 1981-03-22   0.8125 
 1981-03-23        0 
 1981-03-24        0 
 1981-03-25        0 
 1981-03-26        0 
 1981-03-27        0 
 1981-03-28   0.4375 
 1981-03-29   0.3125 
 1981-03-30   2.6875 
 1981-03-31   10.875 
 1981-04-01        0 
 1981-04-02        0 
 1981-04-03        0 
 1981-04-04        0 
 1981-04-05        0 
 1981-04-06   0.3125 
 1981-04-07        7 
 1981-04-08     0.75 
 1981-04-09        0 
 1981-04-10        0 
 1981-04-11        0 
 1981-04-12    1.875 
 1981-04-13   0.1875 
 1981-04-14        0 
 1981-04-15        0 
 1981-04-16        0 
 1981-04-17        0 
 1981-04-18   0.8125 
 1981-04-19        0 
 1981-04-20        0 
 1981-04-21   2.5625 
 1981-04-22   0.0625 
 1981-04-23        0 
 1981-04-24        0 
 1981-04-25        0 
 1981-04-26   1.9375 
 1981-04-27    0.625 
 1981-04-28   0.8125 
 1981-04-29        0 
 1981-04-30        0 
 1981-05-01        0 
 1981-05-02     7.25 
 1981-05-03   0.0625 
 1981-05-04        0 
 1981-05-05        0 
 1981-05-06        0 
 1981-05-07        0 
 1981-05-08    0.125 
 1981-05-09        0 
 1981-05-10        0 
 1981-05-11        0 
 1981-05-12        0 
 1981-05-13        0 
 1981-05-14   0.4375 
 1981-05-15        0 
 1981-05-16        0 
 1981-05-17        0 
 1981-05-18   0.0625 
 1981-05-19        0 
 1981-05-20        0 
 1981-05-21        0 
 1981-05-22   0.0625 
 1981-05-23        0 
 1981-05-24        0 
 1981-05-25        0 
 1981-05-26        0 
 1981-05-27        0 
 1981-05-28        0 
 1981-05-29   0.1875 
 1981-05-30        0 
 1981-05-31        0 
 1981-06-01        0 
 1981-06-02        0 
 1981-06-03        0 
 1981-06-04        5 
 1981-06-05      2.5 
 1981-06-06   0.5625 
 1981-06-07     0.75 
 1981-06-08        0 
 1981-06-09        3 
 1981-06-10   2.9375 
 1981-06-11      0.5 
 1981-06-12    0.875 
 1981-06-13        0 
 1981-06-14        0 
 1981-06-15        0 
 1981-06-16   3.9375 
 1981-06-17   4.3125 
 1981-06-18     0.75 
 1981-06-19   7.8125 
 1981-06-20        0 
 1981-06-21        0 
 1981-06-22        0 
 1981-06-23    0.125 
 1981-06-24   1.8125 
 1981-06-25     2.25 
 1981-06-26   0.1875 
