#      date    value 
 1995-09-16   0.3125 
 1995-09-17  15.6875 
 1995-09-18   3.8125 
 1995-09-19   0.4375 
 1995-09-20        0 
 1995-09-21        0 
 1995-09-22   1.6875 
 1995-09-23    1.375 
 1995-09-24        0 
 1995-09-25        0 
 1995-09-26        0 
 1995-09-27   0.1875 
 1995-09-28     0.25 
 1995-09-29        0 
 1995-09-30   2.9375 
 1995-10-01    0.625 
 1995-10-02   0.5625 
 1995-10-03   0.0625 
 1995-10-04    0.375 
 1995-10-05     0.75 
 1995-10-06   1.5625 
 1995-10-07     1.75 
 1995-10-08   0.0625 
 1995-10-09        0 
 1995-10-10        0 
 1995-10-11        0 
 1995-10-12    0.125 
 1995-10-13        0 
 1995-10-14        0 
 1995-10-15        0 
 1995-10-16   0.5625 
 1995-10-17   0.1875 
 1995-10-18    0.875 
 1995-10-19   0.4375 
 1995-10-20   1.6875 
 1995-10-21   2.3125 
 1995-10-22   2.8125 
 1995-10-23      0.5 
 1995-10-24   0.0625 
 1995-10-25        0 
 1995-10-26        0 
 1995-10-27        0 
 1995-10-28        0 
 1995-10-29        0 
 1995-10-30        0 
 1995-10-31        0 
 1995-11-01        0 
 1995-11-02   0.3125 
 1995-11-03        0 
 1995-11-04        0 
 1995-11-05        0 
 1995-11-06        0 
 1995-11-07        0 
 1995-11-08        0 
 1995-11-09        0 
 1995-11-10        0 
 1995-11-11        0 
 1995-11-12        0 
 1995-11-13        0 
 1995-11-14        0 
 1995-11-15        0 
 1995-11-16        0 
 1995-11-17   1.3125 
 1995-11-18   0.6875 
 1995-11-19        0 
 1995-11-20        0 
 1995-11-21        0 
 1995-11-22        0 
 1995-11-23        0 
 1995-11-24        0 
 1995-11-25        0 
 1995-11-26        0 
 1995-11-27        0 
 1995-11-28        0 
 1995-11-29        0 
 1995-11-30        0 
 1995-12-01   0.0625 
 1995-12-02        0 
 1995-12-03        0 
 1995-12-04        0 
 1995-12-05        0 
 1995-12-06        0 
 1995-12-07        0 
 1995-12-08        0 
 1995-12-09        0 
 1995-12-10        0 
 1995-12-11        0 
 1995-12-12        0 
 1995-12-13        0 
 1995-12-14        0 
 1995-12-15        0 
 1995-12-16        0 
 1995-12-17        0 
 1995-12-18        0 
 1995-12-19        0 
 1995-12-20        0 
 1995-12-21        0 
 1995-12-22        0 
 1995-12-23        0 
 1995-12-24        0 
 1995-12-25        0 
 1995-12-26        0 
 1995-12-27        0 
 1995-12-28        0 
 1995-12-29        0 
 1995-12-30        0 
 1995-12-31        0 
